ID,age,income,hispanic,State
1,87,260000,FALSE,Nevada
2,53,720000,FALSE,Colorado
3,53,690000,FALSE,Alabama
4,54,320000,FALSE,Idaho
5,69,530000,FALSE,Tennessee
6,47,430000,TRUE,Maine
7,68,60000,TRUE,Montana
8,99,510000,TRUE,Connecticut
9,87,260000,TRUE,Louisiana
10,19,760000,TRUE,Idaho
11,42,590000,TRUE,Connecticut
12,87,530000,TRUE,Mississippi
13,25,280000,FALSE,Minnesota
14,19,870000,FALSE,Indiana
15,52,990000,FALSE,Illinois
16,24,620000,TRUE,Hawaii
17,22,50000,FALSE,Kansas
18,27,850000,FALSE,Alabama
19,84,700000,TRUE,Maryland
20,87,820000,TRUE,Arkansas
21,30,830000,TRUE,South Carolina
22,43,510000,FALSE,Ohio
23,48,780000,FALSE,Connecticut
24,55,340000,TRUE,New Jersey
25,92,660000,TRUE,Mississippi
26,59,720000,FALSE,Virginia
27,76,320000,TRUE,Delaware
28,61,110000,TRUE,West Virginia
29,61,210000,TRUE,Virginia
30,27,960000,TRUE,Michigan
31,20,50000,FALSE,Delaware
32,57,530000,TRUE,Florida
33,33,650000,FALSE,Kansas
34,87,650000,TRUE,Indiana
35,27,260000,TRUE,North Carolina
36,33,680000,FALSE,Virginia
37,34,770000,FALSE,Virginia
38,26,250000,FALSE,Massachusetts
39,21,440000,TRUE,Florida
40,91,370000,TRUE,Kansas
41,91,850000,TRUE,Oklahoma
42,37,390000,TRUE,Oklahoma
43,68,800000,TRUE,Alabama
44,96,620000,FALSE,Pennsylvania
45,66,570000,TRUE,South Carolina
46,19,170000,TRUE,Massachusetts
47,24,910000,TRUE,Vermont
48,88,140000,FALSE,Texas
49,57,810000,TRUE,Pennsylvania
50,62,560000,TRUE,Mississippi
51,18,630000,TRUE,Maine
52,27,710000,TRUE,Indiana
53,24,430000,FALSE,Delaware
54,36,70000,TRUE,Kentucky
55,56,190000,TRUE,Delaware
56,36,350000,FALSE,New York
57,38,380000,FALSE,California
58,60,1000000,TRUE,Connecticut
59,62,320000,FALSE,Illinois
60,62,70000,TRUE,New Hampshire
61,92,740000,FALSE,Indiana
62,39,220000,FALSE,Vermont
63,70,370000,TRUE,Pennsylvania
64,79,690000,TRUE,Colorado
65,67,150000,FALSE,Kentucky
66,44,850000,FALSE,Arkansas
67,68,830000,FALSE,Nevada
68,47,780000,TRUE,Vermont
69,46,440000,FALSE,New York
70,19,590000,TRUE,Connecticut
71,87,970000,TRUE,California
72,27,470000,FALSE,Alabama
73,77,50000,TRUE,Illinois
74,18,110000,TRUE,North Dakota
75,85,250000,FALSE,Indiana
76,53,620000,FALSE,Alaska
77,31,480000,TRUE,Maine
78,39,110000,TRUE,Rhode Island
79,94,40000,FALSE,Pennsylvania
80,45,760000,FALSE,California
81,62,920000,TRUE,Maine
82,98,810000,FALSE,Virginia
83,49,360000,FALSE,Maryland
84,79,790000,TRUE,Washington
85,92,660000,FALSE,Colorado
86,56,980000,FALSE,West Virginia
87,51,780000,FALSE,Ohio
88,35,710000,TRUE,North Dakota
89,41,690000,TRUE,Wisconsin
90,52,760000,TRUE,New Hampshire
91,24,750000,TRUE,Nevada
92,53,860000,FALSE,California
93,54,660000,FALSE,New Jersey
94,81,320000,FALSE,Idaho
95,43,580000,FALSE,Utah
96,46,440000,TRUE,South Dakota
97,68,600000,TRUE,North Dakota
98,90,80000,TRUE,California
99,82,620000,TRUE,South Carolina
100,21,700000,TRUE,Michigan
101,59,320000,FALSE,Idaho
102,39,60000,FALSE,Ohio
103,99,330000,FALSE,Alaska
104,87,660000,FALSE,Colorado
105,75,260000,FALSE,Alaska
106,47,190000,FALSE,New Hampshire
107,86,300000,TRUE,California
108,78,970000,FALSE,West Virginia
109,50,360000,FALSE,Connecticut
110,92,480000,TRUE,Idaho
111,41,540000,TRUE,Michigan
112,89,980000,FALSE,Minnesota
113,66,940000,TRUE,Louisiana
114,51,340000,TRUE,Maine
115,22,160000,FALSE,Ohio
116,30,160000,FALSE,Connecticut
117,83,590000,FALSE,New York
118,96,1000000,TRUE,Washington
119,87,720000,TRUE,Nebraska
120,27,710000,FALSE,Alabama
121,99,780000,TRUE,Mississippi
122,95,750000,TRUE,North Dakota
123,31,390000,TRUE,Texas
124,79,460000,TRUE,Minnesota
125,43,40000,TRUE,Iowa
126,61,810000,FALSE,West Virginia
127,34,790000,FALSE,New Jersey
128,81,370000,FALSE,Pennsylvania
129,71,870000,TRUE,New Hampshire
130,67,410000,FALSE,Oregon
131,48,390000,TRUE,Idaho
132,19,980000,TRUE,Illinois
133,42,430000,TRUE,North Dakota
134,95,220000,TRUE,Wyoming
135,68,960000,TRUE,Wyoming
136,83,520000,FALSE,Louisiana
137,32,630000,FALSE,Oklahoma
138,57,50000,TRUE,Nevada
139,96,700000,TRUE,California
140,56,600000,TRUE,Washington
141,43,560000,FALSE,Pennsylvania
142,87,140000,TRUE,Indiana
143,61,800000,FALSE,Colorado
144,83,920000,TRUE,Alaska
145,25,540000,TRUE,Illinois
146,89,580000,FALSE,Arizona
147,91,620000,TRUE,Virginia
148,42,200000,FALSE,Rhode Island
149,48,400000,TRUE,Virginia
150,28,940000,FALSE,Oregon
151,36,670000,FALSE,New Jersey
152,40,890000,FALSE,Connecticut
153,54,70000,TRUE,Hawaii
154,34,180000,TRUE,Kentucky
155,70,130000,TRUE,Washington
156,18,150000,FALSE,Delaware
157,25,750000,TRUE,Vermont
158,23,6000,FALSE,California
159,66,350000,FALSE,Utah
160,35,230000,FALSE,Rhode Island
161,59,90000,TRUE,Washington
162,29,780000,TRUE,Kansas
163,21,120000,FALSE,Rhode Island
164,57,720000,TRUE,Arkansas
165,60,40000,TRUE,Georgia
166,68,710000,FALSE,Indiana
167,46,900000,FALSE,Alabama
168,18,150000,TRUE,Vermont
169,29,460000,FALSE,Hawaii
170,45,920000,TRUE,Maine
171,94,80000,FALSE,Massachusetts
172,50,720000,TRUE,Alabama
173,42,90000,TRUE,Wyoming
174,69,460000,FALSE,Mississippi
175,27,380000,TRUE,Virginia
176,53,960000,FALSE,Oklahoma
177,65,200000,FALSE,Connecticut
178,98,120000,TRUE,West Virginia
179,86,280000,FALSE,Michigan
180,45,10000,TRUE,Tennessee
181,36,470000,TRUE,Hawaii
182,56,360000,FALSE,New Jersey
183,23,930000,FALSE,Massachusetts
184,19,960000,FALSE,Ohio
185,90,480000,TRUE,Utah
186,87,660000,TRUE,Kansas
187,45,70000,FALSE,Pennsylvania
188,87,850000,FALSE,Missouri
189,46,270000,TRUE,Ohio
190,50,260000,FALSE,Washington
191,51,180000,TRUE,North Dakota
192,42,810000,TRUE,Alabama
193,50,630000,TRUE,Alabama
194,69,830000,FALSE,Idaho
195,65,370000,TRUE,Vermont
196,18,440000,FALSE,Washington
197,55,710000,FALSE,Texas
198,95,930000,FALSE,Tennessee
199,22,150000,FALSE,South Dakota
200,75,830000,FALSE,Georgia
201,56,470000,TRUE,Washington
202,33,600000,TRUE,Wisconsin
203,57,460000,FALSE,Connecticut
204,72,20000,TRUE,Ohio
205,45,740000,FALSE,West Virginia
206,33,840000,TRUE,Florida
207,21,30000,TRUE,New York
208,20,120000,TRUE,Texas
209,57,80000,FALSE,Michigan
210,57,620000,TRUE,Alabama
211,36,100000,TRUE,New York
212,61,560000,FALSE,Connecticut
213,94,840000,TRUE,Ohio
214,36,290000,TRUE,Colorado
215,61,500000,TRUE,Wyoming
216,81,990000,FALSE,New Hampshire
217,65,650000,FALSE,Montana
218,25,670000,FALSE,South Carolina
219,75,750000,TRUE,Arkansas
220,63,450000,TRUE,New York
221,22,790000,TRUE,Kansas
222,81,910000,FALSE,Utah
223,78,290000,TRUE,North Carolina
224,53,870000,FALSE,Washington
225,68,910000,FALSE,Oklahoma
226,19,380000,FALSE,Arizona
227,46,620000,TRUE,New York
228,92,240000,FALSE,Arkansas
229,63,700000,FALSE,North Carolina
230,53,300000,TRUE,South Dakota
231,27,350000,TRUE,Mississippi
232,71,510000,TRUE,Nebraska
233,71,140000,FALSE,Colorado
234,62,40000,TRUE,New Jersey
235,86,300000,FALSE,Wyoming
236,71,50000,TRUE,Wisconsin
237,34,940000,FALSE,Texas
238,80,90000,FALSE,Maine
239,43,240000,TRUE,South Dakota
240,61,150000,TRUE,Alaska
241,45,420000,FALSE,Maryland
242,79,440000,TRUE,Georgia
243,36,420000,TRUE,California
244,55,440000,TRUE,North Dakota
245,21,350000,TRUE,South Carolina
246,24,540000,TRUE,Idaho
247,45,180000,TRUE,Maine
248,39,800000,TRUE,New Jersey
249,73,1000000,FALSE,Washington
250,36,530000,FALSE,Maryland
251,50,910000,FALSE,Pennsylvania
252,94,660000,FALSE,Alabama
253,36,710000,FALSE,Kansas
254,62,900000,FALSE,Mississippi
255,45,260000,TRUE,Idaho
256,25,240000,FALSE,Indiana
257,39,460000,FALSE,New Mexico
258,68,780000,FALSE,Wisconsin
259,65,830000,FALSE,Wyoming
260,18,740000,TRUE,South Dakota
261,43,460000,FALSE,Michigan
262,32,980000,TRUE,Louisiana
263,36,20000,TRUE,Ohio
264,25,190000,TRUE,California
265,70,100000,FALSE,New York
266,33,410000,FALSE,New Mexico
267,88,110000,FALSE,Kentucky
268,65,600000,TRUE,West Virginia
269,69,760000,FALSE,Tennessee
270,30,720000,FALSE,Iowa
271,42,680000,FALSE,Montana
272,90,880000,FALSE,Illinois
273,30,170000,FALSE,Nevada
274,71,150000,FALSE,Oklahoma
275,33,650000,FALSE,North Dakota
276,48,440000,TRUE,Tennessee
277,36,300000,FALSE,Pennsylvania
278,93,50000,FALSE,Hawaii
279,87,810000,FALSE,Wisconsin
280,33,680000,TRUE,North Carolina
281,74,210000,TRUE,Vermont
282,24,880000,TRUE,Florida
283,39,370000,FALSE,Wisconsin
284,19,180000,FALSE,Alabama
285,56,600000,FALSE,Montana
286,61,80000,FALSE,Missouri
287,30,600000,FALSE,Alaska
288,97,980000,TRUE,Wisconsin
289,24,710000,FALSE,Wyoming
290,88,810000,TRUE,Pennsylvania
291,45,880000,TRUE,Michigan
292,66,500000,FALSE,South Dakota
293,91,320000,FALSE,Montana
294,43,980000,TRUE,West Virginia
295,77,470000,TRUE,New York
296,85,110000,FALSE,Iowa
297,71,940000,TRUE,Maine
298,82,730000,FALSE,South Dakota
299,20,30000,FALSE,Colorado
300,18,940000,TRUE,South Dakota
301,74,390000,TRUE,Colorado
302,93,130000,FALSE,Missouri
303,38,780000,TRUE,Illinois
304,62,80000,FALSE,Washington
305,47,780000,TRUE,South Dakota
306,23,590000,FALSE,Wyoming
307,42,390000,TRUE,Iowa
308,77,800000,FALSE,Louisiana
309,95,600000,TRUE,Indiana
310,30,860000,TRUE,Georgia
311,77,330000,FALSE,Rhode Island
312,40,620000,FALSE,Massachusetts
313,58,20000,TRUE,Washington
314,21,860000,FALSE,Arkansas
315,59,790000,TRUE,Georgia
316,64,920000,FALSE,New Mexico
317,32,670000,FALSE,Massachusetts
318,40,100000,TRUE,Wisconsin
319,51,370000,TRUE,Kentucky
320,60,880000,TRUE,New Jersey
321,39,600000,TRUE,South Carolina
322,58,390000,FALSE,Missouri
323,99,710000,FALSE,New Hampshire
324,59,840000,FALSE,Mississippi
325,94,610000,TRUE,West Virginia
326,31,180000,FALSE,Illinois
327,94,790000,FALSE,South Dakota
328,92,870000,TRUE,Tennessee
329,91,670000,TRUE,Ohio
330,28,690000,FALSE,Louisiana
331,93,350000,FALSE,Idaho
332,31,710000,FALSE,Idaho
333,50,140000,FALSE,Nevada
334,20,290000,TRUE,North Dakota
335,92,410000,FALSE,South Carolina
336,63,80000,FALSE,Minnesota
337,28,300000,FALSE,Nebraska
338,63,5000,FALSE,Virginia
339,71,50000,FALSE,Nebraska
340,37,120000,FALSE,Washington
341,81,260000,FALSE,Maryland
342,22,670000,FALSE,West Virginia
343,29,200000,FALSE,Kentucky
